Date,Category_Level_8,Link_to_Creative,Spend_USD
2024-05,Savings Accounts,https://s3.amazonaws.com/YM_Ads/5509077119537351036.png,265456.9456
2024-05,Savings Accounts,https://s3.amazonaws.com/YM_Ads/-9147211259769290841.png,247808.826
2024-05,Savings Accounts,https://s3.amazonaws.com/YM_Ads/-6383768124273403601.png,184555.8382
2024-06,All Categories,https://x-ad-assets.s3.amazonaws.com/media_asset/f4b92465c50feaac/media,71238.8005
2024-06,Business Credit Cards,https://x-ad-assets.s3.amazonaws.com/media_asset/22388a0f8154ab1c/media,648099.5253
2024-06,Business Credit Cards,https://x-ad-assets.s3.amazonaws.com/media_asset/46ce1a492a28ae2a/media,444458.7501
2024-06,Business Credit Cards,https://x-ad-assets.s3.amazonaws.com/media_asset/6f1344666cd4c47e/media,334972.9076
2024-06,Business Finance & Business Solutions,https://s3.amazonaws.com/YM_Ads/-GjqgrsLwTowigFb01KY6A.mp4,847.5018
2024-06,Business Finance & Business Solutions,https://s3.amazonaws.com/YM_Ads/YjrYpg0YS-wn1GovCHUcwg.png,165.6494
2024-06,Business Finance & Business Solutions,https://s3.amazonaws.com/YM_Ads/IS8aNpRA2tU3J2ALVPKJ1A.png,163.1394
2024-06,Car Buying Services,https://s3.amazonaws.com/YM_Ads/7TO2F1cU5z_jBlxTpkNPWw.png,86086.7173
2024-06,Car Buying Services,https://s3.amazonaws.com/YM_Ads/Jmvcxyv5snbJrHiRw4JlUA.png,81515.8008
